today_close,predicted_next_close,actual_next_close,signal,actual_return_pct,equity_curve
7.96,8.217175,7.78,BUY,-2.2613065326633133,0.9796170082268059
7.78,8.1434555,7.94,BUY,2.0565552699228813,0.999763373434555
7.94,8.025777,7.68,BUY,-3.2745591939546683,0.9670255299719624
7.68,7.9347787,7.76,BUY,1.0416666666666676,0.9770987125758371
7.76,7.8127775,7.92,BUY,2.061855670103095,0.9972450777835863
7.92,7.7069793,7.8,SELL,-1.5151515151515165,1.012354851689398
7.8,7.641095,7.89,SELL,1.153846153846152,1.000673834169905
7.89,7.5984545,8.1,SELL,2.6615969581749046,0.9740399298383867
8.1,7.589358,8.06,SELL,-0.49382716049381664,0.9788500035659836
8.06,7.6039786,8.02,SELL,-0.4962779156327658,0.9837078199608521
8.02,7.6785946,8.06,SELL,0.49875311720699406,0.9788015465445884
8.06,7.758938,8.06,SELL,0.0,0.9788015465445884
8.06,7.8282723,7.93,SELL,-1.6129032258064613,0.9945886682630495
7.93,7.9125156,7.79,SELL,-1.7654476670870074,1.0121476107040113
7.79,7.963263,8.3,BUY,6.546854942233642,1.0784114465780865
8.3,7.969349,8.18,SELL,-1.4457831325301322,1.0940029373719868
8.18,7.996966,8.22,SELL,0.4889975550122362,1.0886532897564758
8.22,8.033205,8.18,SELL,-0.4866180048661912,1.0939508726749991
8.18,8.050375,8.14,SELL,-0.48899755501221454,1.0993002656954147
8.14,8.099047,8.14,SELL,0.0,1.0993002656954147
8.14,8.149673,8.06,BUY,-0.9828009828009836,1.0884963318802263
8.06,8.183873,8.3,BUY,2.9776674937965284,1.1209081333257915
8.3,8.208209,8.26,SELL,-0.48192771084338454,1.126310100233386
8.26,8.233092,8.3,SELL,0.48426150121066497,1.1208558140337084
8.3,8.273445,8.18,SELL,-1.4457831325301322,1.1370609583329911
8.18,8.243976,8.26,BUY,0.9779951100244507,1.148181358903485
8.26,8.236529,8.18,SELL,-0.9685230024213084,1.159301759473979
8.18,8.247484,8.1,BUY,-0.9779951100244507,1.147963844955896
8.1,8.263953,8.22,BUY,1.4814814814814938,1.1649707167330203
8.22,8.272596,8.14,BUY,-0.9732360097323608,1.1536328022149374
8.14,8.282982,8.14,BUY,0.0,1.1536328022149374
8.14,8.289175,8.02,BUY,-1.4742014742014864,1.1366259304378128
8.02,8.250692,7.9,BUY,-1.496259351620938,1.1196190586606884
7.9,8.214333,7.97,BUY,0.8860759493670809,1.1295397338640107
7.97,8.156148,7.91,BUY,-0.7528230865746501,1.1210362979754487
7.91,8.0928135,7.7,BUY,-2.654867256637168,1.091274272365481
7.7,8.008556,7.62,BUY,-1.0389610389610398,1.079936357847398
7.62,7.9425564,7.73,BUY,1.4435695538057784,1.095525990309762
7.73,7.8606863,7.67,BUY,-0.7761966364812483,1.0870225544211998
7.67,7.762413,7.38,BUY,-3.780964797913951,1.0459226142931493
7.38,7.687853,7.32,BUY,-0.8130081300812955,1.0374191784045872
7.32,7.597694,7.25,BUY,-0.9562841530054683,1.0274985032012647
7.25,7.505238,7.42,BUY,2.3448275862068955,1.0515915715521909
7.42,7.4052143,7.56,SELL,1.8867924528301845,1.0317502211455458
7.56,7.321479,7.6,SELL,0.5291005291005296,1.0262912252664689
7.6,7.2648478,7.64,SELL,0.5263157894736847,1.0208896925019084
7.64,7.2535048,7.68,SELL,0.5235602094240842,1.0155447202898567
7.68,7.2808337,7.56,SELL,-1.5625000000000013,1.0314126065443856
7.56,7.329023,7.68,SELL,1.587301587301589,1.0150409778690779
7.68,7.388846,7.93,SELL,3.2552083333333335,0.9819992793707355
7.93,7.4545836,7.89,SELL,-0.504413619167718,0.9869526174760103
7.89,7.5424547,8.14,SELL,3.1685678073510886,0.9556803545648564
8.14,7.6534343,8.01,SELL,-1.5970515970516064,0.970943062930143
8.01,7.769245,8.06,SELL,0.6242197253433297,0.9648822448094803
8.06,7.878483,8.1,SELL,0.49627791563274376,0.9600937473166293
8.1,7.991043,7.99,SELL,-1.3580246913580178,0.9731320574653736
7.99,8.088162,7.97,BUY,-0.25031289111389815,0.9706961824779758
7.97,8.170342,8.01,BUY,0.5018820577164371,0.9755679324527713
8.01,8.2429495,8.06,BUY,0.6242197253433297,0.9816576199212655
8.06,8.27871,8.14,BUY,0.9925558312655095,0.9914011198708563
8.14,8.2702675,8.62,BUY,5.89680589680588,1.0498621195684006
8.62,8.285398,8.78,SELL,1.856148491879352,1.0303751196692192
8.78,8.31814,8.98,SELL,2.2779043280182356,1.006904160223451
8.98,8.421786,9.02,SELL,0.4454342984409705,1.0024190637413868
9.02,8.579782,9.06,SELL,0.44345898004435613,0.997973746385549
9.06,8.78624,9.22,SELL,1.766004415011039,0.9803494859637292
9.22,9.009023,9.18,SELL,-0.43383947939263473,0.9846026290698626
9.18,9.252668,9.18,BUY,0.0,0.9846026290698626
9.18,9.475707,9.22,BUY,0.4357298474945635,0.9888928366039361
9.22,9.656874,9.18,BUY,-0.43383947939263473,0.9846026290698625
9.18,9.797093,9.47,BUY,3.159041394335522,1.0157066336918952
9.47,9.812203,9.22,BUY,-2.6399155227032733,0.988892836603936
9.22,9.851321,8.9,BUY,-3.4707158351410006,0.9545711763313481
8.9,9.882182,9.51,BUY,6.853932584269656,1.0199968412259686
9.51,9.866856,9.51,BUY,0.0,1.0199968412259686
9.51,9.90853,9.55,BUY,0.4206098843322915,1.0242870487600422
